,Domain,Phylum,Class,Order,Family,Genus,species,FamGenSpASV,PhyOrdFam
ASV37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,,Burkholderiales; Comamonadaceae; Variovorax; ASV37,Proteobacteria; Burkholderiales; Comamonadaceae
ASV38,Bacteria,Cyanobacteria,Cyanobacteriia,,,,,ASV38,Cyanobacteria
ASV39,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV39,Proteobacteria; Burkholderiales; Comamonadaceae
ASV40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; ASV40,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV41,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,,Campylobacterales; Arcobacteraceae; Poseidonibacter; ASV41,Campilobacterota; Campylobacterales; Arcobacteraceae
ASV42,Bacteria,Cyanobacteria,Cyanobacteriia,,,,,ASV42,Cyanobacteria
ASV43,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV43,Proteobacteria; Rhizobiales; Devosiaceae
ASV44,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Sphingomonadales; Sphingomonadaceae; Sphingopyxis; ASV44,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV45,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; ASV45,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV46,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,,Micrococcales; Micrococcaceae; ASV46,Actinobacteriota; Micrococcales; Micrococcaceae
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Sphingomonadales; Sphingomonadaceae; Sphingopyxis; ASV47,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV48,Bacteria,Firmicutes,Bacilli,Lactobacillales,Vagococcaceae,Vagococcus,,Lactobacillales; Vagococcaceae; Vagococcus; ASV48,Firmicutes; Lactobacillales; Vagococcaceae
ASV49,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,,Sphingomonadales; Sphingomonadaceae; Sphingorhabdus; ASV49,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV50,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV51,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,uncultured_Ktedobacteria,Ktedonobacterales; Ktedonobacteraceae; uncultured_Ktedobacteria; ASV51,Chloroflexi; Ktedonobacterales; Ktedonobacteraceae
ASV52,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium,Erysipelotrichales; Erysipelotrichaceae; ZOR0006; uncultured_bacterium; ASV52,Firmicutes; Erysipelotrichales; Erysipelotrichaceae
ASV53,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV53,Firmicutes; Clostridiales; Clostridiaceae
ASV54,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV54,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV55,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV55,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV56,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Lactobacillales; Enterococcaceae; Enterococcus; ASV56,Firmicutes; Lactobacillales; Enterococcaceae
ASV57,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,uncultured_bacterium,Oscillospirales; Ruminococcaceae; uncultured_bacterium; ASV57,Firmicutes; Oscillospirales; Ruminococcaceae
ASV58,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc_mesenteroides,Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc_mesenteroides; ASV58,Firmicutes; Lactobacillales; Leuconostocaceae
ASV59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,Rhizobiales; Rhizobiaceae; ASV59,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea,,Rhizobiales; Devosiaceae; Arsenicitalea; ASV60,Proteobacteria; Rhizobiales; Devosiaceae
ASV61,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_9,uncultured_bacterium,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_9; uncultured_bacterium; ASV61,Firmicutes; Clostridiales; Clostridiaceae
ASV62,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,,Chitinophagales; Chitinophagaceae; Taibaiella; ASV62,Bacteroidota; Chitinophagales; Chitinophagaceae
ASV63,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium,,Enterobacterales; Hafniaceae; Hafnia-Obesumbacterium; ASV63,Proteobacteria; Enterobacterales; Hafniaceae
ASV64,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,Caulobacterales; Caulobacteraceae; Brevundimonas; ASV64,Proteobacteria; Caulobacterales; Caulobacteraceae
ASV65,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,Lachnospirales; Lachnospiraceae; ASV65,Firmicutes; Lachnospirales; Lachnospiraceae
ASV66,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; ASV66,Actinobacteriota; Pseudonocardiales; Pseudonocardiaceae
ASV67,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV67,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Roseococcus; uncultured_bacterium; ASV68,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV69,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,Nakamurella_sp.,Frankiales; Nakamurellaceae; Nakamurella; Nakamurella_sp.; ASV69,Actinobacteriota; Frankiales; Nakamurellaceae
ASV70,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter,uncultured_bacterium,Oceanospirillales; Nitrincolaceae; Neptuniibacter; uncultured_bacterium; ASV70,Proteobacteria; Oceanospirillales; Nitrincolaceae
ASV71,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,uncultured_planctomycete,Planctomycetales; Rubinisphaeraceae; SH-PL14; uncultured_planctomycete; ASV71,Planctomycetota; Planctomycetales; Rubinisphaeraceae
ASV72,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,Micrococcales; Microbacteriaceae; Microbacterium; ASV72,Actinobacteriota; Micrococcales; Microbacteriaceae
ASV73,Bacteria,Firmicutes,Clostridia,,,,,ASV73,Firmicutes
ASV74,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,uncultured_planctomycete,Isosphaerales; Isosphaeraceae; Tundrisphaera; uncultured_planctomycete; ASV74,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV75,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV75,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV76,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,,Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; ASV76,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV77,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,Micrococcales; Microbacteriaceae; ASV77,Actinobacteriota; Micrococcales; Microbacteriaceae
ASV78,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,,Paenibacillales; Paenibacillaceae; Paenibacillus; ASV78,Firmicutes; Paenibacillales; Paenibacillaceae
ASV79,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,,,Enterobacterales; Yersiniaceae; ASV79,Proteobacteria; Enterobacterales; Yersiniaceae
ASV80,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV80,Proteobacteria; Rhizobiales; Devosiaceae
ASV81,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,,Acetobacterales; Acetobacteraceae; Roseococcus; ASV81,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV82,Proteobacteria; Rhizobiales; Devosiaceae
ASV83,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,,Chlamydiales; Parachlamydiaceae; Neochlamydia; ASV83,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV84,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,uncultured_bacterium,Gemmatales; Gemmataceae; Zavarzinella; uncultured_bacterium; ASV84,Planctomycetota; Gemmatales; Gemmataceae
ASV85,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,Micrococcales; Microbacteriaceae; ASV85,Actinobacteriota; Micrococcales; Microbacteriaceae
ASV86,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Acidiphilium; uncultured_bacterium; ASV86,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV87,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,,Flavobacteriales; Flavobacteriaceae; Polaribacter; ASV87,Bacteroidota; Flavobacteriales; Flavobacteriaceae
ASV88,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,Rhizobiales; Xanthobacteraceae; ASV88,Proteobacteria; Rhizobiales; Xanthobacteraceae
ASV89,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,,Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; ASV89,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV90,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,,Microtrichales; Iamiaceae; Iamia; ASV90,Actinobacteriota; Microtrichales; Iamiaceae
ASV91,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_borealis,Paenibacillales; Paenibacillaceae; Paenibacillus; Paenibacillus_borealis; ASV91,Firmicutes; Paenibacillales; Paenibacillaceae
ASV92,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,Corynebacteriales; Mycobacteriaceae; Mycobacterium; ASV92,Actinobacteriota; Corynebacteriales; Mycobacteriaceae
ASV93,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV93,Proteobacteria; Rhizobiales; Devosiaceae
ASV94,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_nitritireducens,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas_nitritireducens; ASV94,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV95,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,Caulobacterales; Caulobacteraceae; Caulobacter; ASV95,Proteobacteria; Caulobacterales; Caulobacteraceae
ASV96,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,Flavobacteriales; Weeksellaceae; Chryseobacterium; ASV96,Bacteroidota; Flavobacteriales; Weeksellaceae
ASV97,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,,Burkholderiales; Oxalobacteraceae; Herminiimonas; ASV97,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV98,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,,Rhizobiales; Rhizobiaceae; Aminobacter; ASV98,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV99,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,,Gemmatales; Gemmataceae; Zavarzinella; ASV99,Planctomycetota; Gemmatales; Gemmataceae
ASV100,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Acidiphilium; uncultured_bacterium; ASV100,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV101,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,,Burkholderiales; Comamonadaceae; Delftia; ASV101,Proteobacteria; Burkholderiales; Comamonadaceae
ASV102,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,,Micrococcales; Micrococcaceae; Paenarthrobacter; ASV102,Actinobacteriota; Micrococcales; Micrococcaceae
ASV103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV103,Proteobacteria; Rhizobiales; Devosiaceae
ASV104,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,,Frankiales; Geodermatophilaceae; Modestobacter; ASV104,Actinobacteriota; Frankiales; Geodermatophilaceae
ASV105,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,Corynebacteriales; Nocardiaceae; Rhodococcus; ASV105,Actinobacteriota; Corynebacteriales; Nocardiaceae
ASV106,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea,,Oscillospirales; Ruminococcaceae; Candidatus_Soleaferrea; ASV106,Firmicutes; Oscillospirales; Ruminococcaceae
ASV107,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV107,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV108,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,,Micrococcales; Cellulomonadaceae; Cellulomonas; ASV108,Actinobacteriota; Micrococcales; Cellulomonadaceae
ASV109,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Acidiphilium; uncultured_bacterium; ASV109,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV110,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,,Micrococcales; Sanguibacteraceae; Sanguibacter; ASV110,Actinobacteriota; Micrococcales; Sanguibacteraceae
ASV111,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,uncultured_Ktedobacteria,Ktedonobacterales; Ktedonobacteraceae; uncultured_Ktedobacteria; ASV111,Chloroflexi; Ktedonobacterales; Ktedonobacteraceae
ASV112,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,Lactobacillales; Carnobacteriaceae; Carnobacterium; ASV112,Firmicutes; Lactobacillales; Carnobacteriaceae
ASV113,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV113,Proteobacteria; Rhizobiales; Devosiaceae
ASV114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,Phreatobacter_sp.,Rhizobiales; Rhizobiales_Incertae_Sedis; Phreatobacter; Phreatobacter_sp.; ASV114,Proteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis
ASV115,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,,Chitinophagales; Chitinophagaceae; Taibaiella; ASV115,Bacteroidota; Chitinophagales; Chitinophagaceae
ASV116,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,,Frankiales; Geodermatophilaceae; Blastococcus; ASV116,Actinobacteriota; Frankiales; Geodermatophilaceae
ASV117,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,Burkholderiales; Alcaligenaceae; Achromobacter; ASV117,Proteobacteria; Burkholderiales; Alcaligenaceae
ASV118,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,,Pirellulales; Pirellulaceae; Pirellula; ASV118,Planctomycetota; Pirellulales; Pirellulaceae
ASV119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_glacialis,Rhizobiales; Devosiaceae; Devosia; Devosia_glacialis; ASV119,Proteobacteria; Rhizobiales; Devosiaceae
ASV120,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas_terrae,Caulobacterales; Caulobacteraceae; Brevundimonas; Brevundimonas_terrae; ASV120,Proteobacteria; Caulobacterales; Caulobacteraceae
ASV121,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,Gemmata_sp.,Gemmatales; Gemmataceae; Fimbriiglobus; Gemmata_sp.; ASV121,Planctomycetota; Gemmatales; Gemmataceae
